permit,year,annual_total,annual_avg
AA1972G005,2014,968770000,2654164
AA1972G105,2014,1126795000,3087110
AA1981G025,2014,221533000,606940
AA1981G026,2014,374422000,1025814
AA1982G036,2014,1271571000,3483756
AA1982G037,2014,169528000,464460
AA1982G039,2014,33102000,90690
AA1982G044,2014,0,0
AA1986G070,2014,761209000,2085504
AA1987G069,2014,1348983000,3695844
AA2005G020,2014,999575000,2738562
AA1953G008,2015,1808236800,4954073
AA1953G108,2015,49193000,134775
AA1953G208,2015,0,0
AA1968G006,2015,256439000,702573
AA1969G019,2015,1462927900,4008022
AA1972G005,2015,1416405000,3880562
AA1972G105,2015,1902995000,5213685
AA1981G025,2015,258906000,709332
AA1981G026,2015,156556000,428921
AA1982G036,2015,1067662800,2925104
AA1982G037,2015,0,0
AA1982G039,2015,37382000,102416
AA1982G044,2015,0,0
AA1986G070,2015,892660100,2445644
AA1987G069,2015,1755004800,4808232
AA2005G020,2015,1213669800,3325123
AA1953G008,2016,2113909650,5775709
AA1953G108,2016,0,0
AA1953G208,2016,0,0
AA1968G006,2016,258125000,705260
AA1969G019,2016,649881000,1775631
AA1972G005,2016,2064366000,5640344
AA1972G105,2016,2343613000,6403314
AA1981G025,2016,256197600,699993
AA1981G026,2016,147343000,402577
AA1982G036,2016,957495480,2616108
AA1982G037,2016,0,0
AA1982G039,2016,0,0
AA1982G044,2016,0,0
AA1986G070,2016,879265000,2402363
AA1987G069,2016,1880923200,5139134
AA2005G020,2016,869238600,2374969
AA1953G008,2017,2381592000,6524910
AA1953G108,2017,0,0
AA1953G208,2017,0,0
AA1968G006,2017,313479000,858847
AA1969G019,2017,979883000,2684611
AA1972G005,2017,2146958000,5882077
AA1972G105,2017,2086526000,5716510
AA1981G025,2017,91562000,250855
AA1981G026,2017,62835000,172151
AA1982G036,2017,769364000,2107847
AA1982G037,2017,0,0
AA1982G039,2017,0,0
AA1982G044,2017,0,0
AA1986G070,2017,838384000,2296942
AA1987G069,2017,1296005000,3550699
AA2005G020,2017,1005789000,2755586
AA1953G008,2018,2465404000,6754532
